Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",123.275000,-77.175000,180.000000,top
"C3","0.1uF","C_0805_2012Metric",138.075000,-76.975000,90.000000,top
"C4","0.1uF","C_0805_2012Metric",123.425000,-83.925000,180.000000,top
"C5","0.1uF","C_0805_2012Metric",123.375000,-86.800000,180.000000,top
"C6","0.1uF","C_0805_2012Metric",137.925000,-87.700000,-90.000000,top
"C7","0.1uF","C_0805_2012Metric",156.975000,-97.475000,0.000000,top
"C8","0.1uF","C_0805_2012Metric",147.875000,-99.650000,90.000000,top
"C9",".1uF","C_0805_2012Metric",105.425000,-73.025000,0.000000,top
"C10","10pF","C_0805_2012Metric",126.750000,-90.750000,90.000000,top
"C11","10pF","C_0805_2012Metric",134.700000,-90.700000,-90.000000,top
"C12","0.1uF","C_0805_2012Metric",161.200000,-70.700000,90.000000,top
"C13","0.1uF","C_0805_2012Metric",149.575000,-92.900000,180.000000,top
"D2","LED","LED_0805_2012Metric",142.800000,-99.887501,-90.000000,top
"D3","LED","LED_0805_2012Metric",112.775000,-81.250000,0.000000,top
"D4","LED","LED_0805_2012Metric",112.775000,-78.612500,0.000000,top
"D5","LED","LED_0805_2012Metric",112.775000,-75.975000,0.000000,top
"D9","LED","LED_0805_2012Metric",118.800000,-71.600000,0.000000,top
"FB3","FerriteBead","R_0805_2012Metric",121.950000,-69.875000,-90.000000,top
"J1","Conn_02x05_Odd_Even","PinSocket_2x05_P2.54mm_Vertical",116.515000,-64.515000,-90.000000,top
"J2","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4085",133.125000,-65.185000,180.000000,top
"J3","Conn_01x04_Socket","PinSocket_1x04_P2.54mm_Vertical",150.779999,-62.675000,-90.000000,top
"J4","Conn_01x02_Socket","PinSocket_1x02_P2.54mm_Vertical",139.050000,-106.575000,90.000000,top
"J5","Conn_01x02_Socket","PinSocket_1x02_P2.54mm_Vertical",98.000000,-85.400000,180.000000,top
"J6","Conn_01x04_Socket","PinSocket_1x04_P2.54mm_Vertical",156.800000,-106.700000,-90.000000,top
"J7","Conn_01x04_Socket","PinSocket_1x04_P2.54mm_Vertical",166.125000,-80.260000,0.000000,top
"J8","Conn_01x02_Socket","PinSocket_1x02_P2.54mm_Vertical",158.675000,-62.650000,-90.000000,top
"J9","Conn_01x03_Socket","PinSocket_1x03_P2.54mm_Vertical",125.660000,-106.600000,90.000000,top
"R2","330","R_0805_2012Metric",142.800000,-96.025001,90.000000,top
"R3","330","R_0805_2012Metric",108.660000,-81.250000,180.000000,top
"R4","330","R_0805_2012Metric",108.660000,-78.612500,180.000000,top
"R5","330","R_0805_2012Metric",108.660000,-75.975000,180.000000,top
"R7","1K","R_0805_2012Metric",104.700000,-69.875000,-90.000000,top
"R11","5.11k","R_0805_2012Metric",137.475000,-64.550000,90.000000,top
"R12","5.11k","R_0805_2012Metric",123.125000,-64.525000,90.000000,top
"R18","33k","R_0805_2012Metric",135.775000,-70.650000,0.000000,top
"R19","500","R_0805_2012Metric",118.800000,-74.825000,0.000000,top
"R20","1.5k","R_0805_2012Metric",125.950000,-74.900000,0.000000,top
"R44","82k","R_0805_2012Metric",139.275000,-70.650000,0.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",100.150000,-72.575000,0.000000,top
"U1","L293D","DIP-16_W7.62mm",153.500000,-75.200000,0.000000,top
"U2","TLV73333PDBV","SOT-23-5",152.100000,-99.100000,180.000000,top
"U3","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",131.250000,-81.262500,90.000000,top
"U4","WE-TVS-82400102","SOT-23-6",130.225001,-71.212500,-90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_5032-4Pin_5.0x3.2mm",130.700000,-90.600000,0.000000,top
