"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3,C4,C5,C6,C7,C8,C9,C12,C13","0.1uF","~","Capacitor_SMD:C_0805_2012Metric","10",""
"C10,C11","10pF","~","Capacitor_SMD:C_0805_2012Metric","2",""
"D2,D3,D4,D5,D9","LED","~","LED_SMD:LED_0805_2012Metric","5",""
"FB3","FerriteBead","~","Resistor_SMD:R_0805_2012Metric","1",""
"H1,H2,H3,H4","MountingHole","~","MountingHole:MountingHole_3.2mm_M3","4",""
"J1","Conn_02x05_Odd_Even","~","Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical","1",""
"J2","USB_C_Receptacle_USB2.0_16P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_GCT_USB4085","1",""
"J3,J6,J7","Conn_01x04_Socket","~","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","3",""
"J4,J5,J8","Conn_01x02_Socket","~","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","3",""
"J9","Conn_01x03_Socket","~","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","1",""
"R2,R3,R4,R5","330","~","Resistor_SMD:R_0805_2012Metric","4",""
"R7","1K","~","Resistor_SMD:R_0805_2012Metric","1",""
"R11,R12","5.11k","~","Resistor_SMD:R_0805_2012Metric","2",""
"R18","33k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R19","500","~","Resistor_SMD:R_0805_2012Metric","1",""
"R20","1.5k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R44","82k","~","Resistor_SMD:R_0805_2012Metric","1",""
"SW1","SW_Push","~","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","1",""
"TP1,TP2","TestPoint","~","TestPoint:TestPoint_Pad_4.0x4.0mm","2",""
"U1","L293D","http://www.ti.com/lit/ds/symlink/l293.pdf","Package_DIP:DIP-16_W7.62mm","1",""
"U2","TLV73333PDBV","http://www.ti.com/lit/ds/symlink/tlv733p.pdf","Package_TO_SOT_SMD:SOT-23-5","1",""
"U3","STM32F103C8Tx","https://www.st.com/resource/en/datasheet/stm32f103c8.pdf","Package_QFP:LQFP-48_7x7mm_P0.5mm","1",""
"U4","WE-TVS-82400102","https://www.we-online.com/components/products/datasheet/82400102.pdf","Package_TO_SOT_SMD:SOT-23-6","1",""
"Y1","Crystal_GND24","~","Crystal:Crystal_SMD_5032-4Pin_5.0x3.2mm","1",""
